Date,Price,Volume
31-May-17,9.44,18.11
1-Jun-17,9.42,15.21
2-Jun-17,9.53,18.47
5-Jun-17,9.59,21.97
6-Jun-17,9.58,4.63
7-Jun-17,9.55,8.76
8-Jun-17,9.57,9.29
9-Jun-17,9.57,10.29
13-Jun-17,9.57,5.87
14-Jun-17,9.61,12.58
15-Jun-17,9.64,10.49
16-Jun-17,9.63,13.51
19-Jun-17,9.63,9.96
20-Jun-17,9.64,24.09
21-Jun-17,9.59,17.09
22-Jun-17,9.58,7.97
23-Jun-17,9.6,9.43
28-Jun-17,9.63,9.82
29-Jun-17,9.63,5.23
30-Jun-17,9.63,24.69
3-Jul-17,9.64,12.22
4-Jul-17,9.65,7.89
5-Jul-17,9.66,16.51
6-Jul-17,9.65,10.89
7-Jul-17,9.63,10.66
10-Jul-17,9.62,7.95
11-Jul-17,9.63,6.1
12-Jul-17,9.63,8.31
13-Jul-17,9.61,13.22
14-Jul-17,9.62,13.05
17-Jul-17,9.61,7.93
18-Jul-17,9.6,14.05
19-Jul-17,9.64,27.59
20-Jul-17,9.62,13.24
21-Jul-17,9.63,11.82
24-Jul-17,9.63,8.82
25-Jul-17,9.62,7.47
26-Jul-17,9.63,6.94
27-Jul-17,9.64,7.81
28-Jul-17,9.64,4.42
31-Jul-17,9.54,18.73
1-Aug-17,9.65,21.91
2-Aug-17,9.65,8.29
3-Aug-17,9.64,13.03
4-Aug-17,9.65,10.85
7-Aug-17,9.7,11.19
8-Aug-17,9.8,23.85
9-Aug-17,9.82,12.97
10-Aug-17,9.78,8.47
11-Aug-17,9.69,10.81
14-Aug-17,9.69,12.06
15-Aug-17,9.69,5.04
16-Aug-17,9.69,8.57
17-Aug-17,9.7,8.14
18-Aug-17,9.66,13.89
21-Aug-17,9.6,15.21
22-Aug-17,9.61,16.65
23-Aug-17,9.58,7.19
24-Aug-17,9.57,8.13
25-Aug-17,9.56,9.26
28-Aug-17,9.6,5.02
29-Aug-17,9.46,9.88
30-Aug-17,9.46,15.38
5-Sep-17,9.42,12.52
6-Sep-17,9.47,10.04
7-Sep-17,9.49,19.32
8-Sep-17,9.6,17.53
11-Sep-17,9.62,11.75
12-Sep-17,9.7,6.16
13-Sep-17,9.7,8.76
14-Sep-17,9.72,12.06
15-Sep-17,9.7,7.54
18-Sep-17,9.8,13.4
19-Sep-17,9.81,12.77
20-Sep-17,9.85,10.32
21-Sep-17,9.85,6.79
25-Sep-17,9.78,14.26
26-Sep-17,9.8,20.58
27-Sep-17,9.82,19.03
28-Sep-17,9.8,18.24
29-Sep-17,9.53,7.95
2-Oct-17,9.55,12.6
3-Oct-17,9.56,8.46
4-Oct-17,9.55,2.96
